epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,67.2029,0.7044,0.57301,0.97109,0.88802,0.80488,0.85424,0.65492,0.82919,0.65356,1.00438,0.001307,0.001307,0.001307
72,68.0435,0.69593,0.56114,0.96176,1,0.75567,0.86336,0.66479,0.80885,0.72501,1.0281,0.0012971,0.0012971,0.0012971
73,68.8711,0.6917,0.53345,0.95456,0.96242,0.73171,0.83577,0.65207,0.84062,0.99371,1.06758,0.0012872,0.0012872,0.0012872
74,69.7088,0.68972,0.54999,0.97235,0.94896,0.65854,0.76232,0.59719,0.8702,1.66535,1.09658,0.0012773,0.0012773,0.0012773
75,70.5416,0.63786,0.54632,0.94509,0.93733,0.68293,0.78756,0.62669,0.86971,1.5979,1.04473,0.0012674,0.0012674,0.0012674
76,71.371,0.68745,0.53996,0.96732,0.96033,0.80488,0.85739,0.69586,0.86007,0.64506,1.01777,0.0012575,0.0012575,0.0012575
77,72.1989,0.67735,0.52617,0.92782,0.98967,0.80488,0.87303,0.69037,0.86278,0.54582,1.01651,0.0012476,0.0012476,0.0012476
78,73.0313,0.64148,0.48769,0.94197,0.99481,0.80488,0.8715,0.6766,0.90044,0.62197,1.02659,0.0012377,0.0012377,0.0012377
79,73.8648,0.66184,0.5087,0.95292,0.99166,0.78049,0.87155,0.66203,0.93423,0.63961,1.05912,0.0012278,0.0012278,0.0012278
80,74.7564,0.62454,0.50669,0.93981,0.96091,0.78049,0.81967,0.6198,0.94856,0.69401,1.06746,0.0012179,0.0012179,0.0012179
81,75.5712,0.67977,0.53034,0.96407,0.92862,0.78049,0.8116,0.6112,0.90988,0.8122,1.05106,0.001208,0.001208,0.001208
82,76.3893,0.6347,0.51309,0.93072,0.73553,0.73171,0.79819,0.6138,0.88871,1.21261,1.04489,0.0011981,0.0011981,0.0011981
83,77.219,0.68524,0.54022,0.94366,0.96209,0.78049,0.81959,0.61955,0.93519,1.05824,1.07026,0.0011882,0.0011882,0.0011882
84,78.0444,0.65826,0.5136,0.94035,0.96499,0.80488,0.83775,0.63441,0.94075,0.70184,1.0887,0.0011783,0.0011783,0.0011783
85,78.879,0.62292,0.49123,0.92628,0.99399,0.80488,0.82958,0.6433,0.90564,0.69095,1.07204,0.0011684,0.0011684,0.0011684
86,79.7237,0.62479,0.49419,0.93225,0.94511,0.80488,0.84185,0.66188,0.8437,0.72114,1.03263,0.0011585,0.0011585,0.0011585
87,80.5616,0.66192,0.49646,0.95881,0.88528,0.82927,0.83193,0.66318,0.80583,0.69557,1.0166,0.0011486,0.0011486,0.0011486
88,81.3914,0.585,0.4733,0.93533,0.94307,0.80488,0.85444,0.67204,0.82184,0.60241,1.05228,0.0011387,0.0011387,0.0011387
89,82.204,0.6231,0.51216,0.92673,0.9372,0.80488,0.86705,0.67354,0.80038,0.58433,1.04469,0.0011288,0.0011288,0.0011288
90,83.0275,0.62519,0.50421,0.93294,0.96612,0.82927,0.87195,0.68198,0.79308,0.51827,1.04292,0.0011189,0.0011189,0.0011189
91,83.8788,0.63147,0.50129,0.96816,0.89587,0.82927,0.88161,0.69589,0.82689,0.52706,1.0446,0.001109,0.001109,0.001109
92,84.7913,0.66624,0.49851,0.92954,0.98189,0.73171,0.84998,0.66835,0.78001,0.5897,1.01497,0.0010991,0.0010991,0.0010991
93,85.6357,0.61732,0.50221,0.90819,0.96844,0.74865,0.86375,0.67185,0.77918,0.58758,1.01152,0.0010892,0.0010892,0.0010892
94,86.4708,0.61646,0.48455,0.94115,0.98756,0.78049,0.86842,0.65809,0.83215,0.62393,1.03789,0.0010793,0.0010793,0.0010793
95,87.3132,0.62413,0.5196,0.95897,0.99312,0.7561,0.85683,0.66288,0.84355,0.68708,1.01829,0.0010694,0.0010694,0.0010694
96,88.1358,0.64867,0.4787,0.92578,0.96618,0.78049,0.86747,0.68813,0.82866,0.61935,1.00699,0.0010595,0.0010595,0.0010595
97,88.9867,0.62574,0.47232,0.94983,0.96788,0.80488,0.87682,0.69488,0.82198,0.58895,1.01378,0.0010496,0.0010496,0.0010496
98,89.8194,0.61718,0.45892,0.95608,0.97131,0.82573,0.89885,0.69262,0.82277,0.58959,1.02934,0.0010397,0.0010397,0.0010397
