epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,41.9759,0.69324,0.86705,0.97382,0.87912,0.67164,0.70276,0.55074,0.96192,1.22455,1.11112,0.000911,0.000911,0.000911
57,42.5947,0.72401,0.8808,1.00645,0.86398,0.70149,0.73467,0.56592,1.01438,1.22144,1.15391,0.0008912,0.0008912,0.0008912
58,43.2907,0.72905,0.94488,1.00935,0.81039,0.76552,0.75787,0.58943,1.02042,1.16046,1.16157,0.0008714,0.0008714,0.0008714
59,43.9338,0.6713,0.81224,1.03134,0.81039,0.76552,0.75787,0.58943,1.02042,1.16046,1.16157,0.0008516,0.0008516,0.0008516
60,44.6185,0.70321,0.85705,0.98238,0.78408,0.70149,0.74189,0.56413,1.06048,1.17814,1.15396,0.0008318,0.0008318,0.0008318
61,45.2814,0.65939,0.76009,1.00624,0.8425,0.65672,0.72664,0.54332,1.06094,1.15436,1.15796,0.000812,0.000812,0.000812
62,46.0132,0.6643,0.75606,0.93933,0.87727,0.64015,0.7343,0.55094,1.01609,1.16869,1.14393,0.0007922,0.0007922,0.0007922
63,46.6496,0.73991,0.82731,1.01824,0.87727,0.64015,0.7343,0.55094,1.01609,1.16869,1.14393,0.0007724,0.0007724,0.0007724
64,47.314,0.66091,0.75552,0.98231,0.74437,0.73134,0.72235,0.55647,0.95736,1.13319,1.11952,0.0007526,0.0007526,0.0007526
65,47.9683,0.63467,0.78692,0.99911,0.87821,0.65672,0.74936,0.58258,0.91321,1.12257,1.09528,0.0007328,0.0007328,0.0007328
66,48.7012,0.59888,0.75823,0.97559,0.80856,0.73134,0.7492,0.58648,0.89411,1.09991,1.07867,0.000713,0.000713,0.000713
67,49.3364,0.63178,0.75686,0.99273,0.80856,0.73134,0.7492,0.58648,0.89411,1.09991,1.07867,0.0006932,0.0006932,0.0006932
68,49.9773,0.62864,0.70705,0.92827,0.82389,0.73134,0.74256,0.58454,0.81813,1.0843,1.03857,0.0006734,0.0006734,0.0006734
69,50.6348,0.58229,0.71479,0.92789,0.85876,0.70149,0.732,0.5826,0.81449,1.15514,1.03743,0.0006536,0.0006536,0.0006536
70,51.2667,0.69455,0.82908,0.99445,0.85427,0.69998,0.74868,0.5994,0.79778,1.12126,1.02632,0.0006338,0.0006338,0.0006338
71,51.8997,0.57387,0.6832,0.90484,0.85427,0.69998,0.74868,0.5994,0.79778,1.12126,1.02632,0.000614,0.000614,0.000614
72,52.5578,0.63567,0.73818,0.96934,0.80851,0.75625,0.75283,0.61072,0.79268,1.06899,1.02998,0.0005942,0.0005942,0.0005942
73,53.2327,0.68626,0.7646,0.97747,0.80377,0.74627,0.74672,0.58544,0.80804,1.0657,1.04421,0.0005744,0.0005744,0.0005744
74,53.8866,0.601,0.73137,0.9596,0.87225,0.68657,0.73706,0.58069,0.81368,1.05279,1.03519,0.0005546,0.0005546,0.0005546
75,54.5093,0.56677,0.69964,0.91244,0.87225,0.68657,0.73706,0.58069,0.81368,1.05279,1.03519,0.0005348,0.0005348,0.0005348
76,55.1582,0.54087,0.62753,0.9008,0.89921,0.70149,0.74875,0.58601,0.79941,1.02865,1.01442,0.000515,0.000515,0.000515
77,55.8476,0.65969,0.76762,0.9771,0.88986,0.70149,0.73961,0.59409,0.80478,1.01589,1.00569,0.0004952,0.0004952,0.0004952
78,56.5446,0.5537,0.63352,0.93123,0.86626,0.71642,0.75707,0.59706,0.82162,1.0124,1.00584,0.0004754,0.0004754,0.0004754
79,57.1725,0.59,0.63951,0.88958,0.86626,0.71642,0.75707,0.59706,0.82162,1.0124,1.00584,0.0004556,0.0004556,0.0004556
80,57.8238,0.61359,0.70934,0.94407,0.86918,0.71642,0.75468,0.60235,0.80749,1.01966,1.00275,0.0004358,0.0004358,0.0004358
81,58.474,0.58484,0.70228,0.95788,0.86741,0.71642,0.76018,0.60318,0.79367,1.0071,1.00088,0.000416,0.000416,0.000416
82,59.0928,0.64389,0.72602,0.96776,0.86667,0.71642,0.76761,0.60268,0.79261,0.98296,1.00247,0.0003962,0.0003962,0.0003962
83,59.7555,0.55581,0.61344,0.90716,0.86667,0.71642,0.76761,0.60268,0.79261,0.98296,1.00247,0.0003764,0.0003764,0.0003764
